-1.0  0.0379819 0.137432 0.0712558 -0.0586547 0.0884866 0.108473 0.0675244 0.0715156 0.163577 0.0897457 0.0407645 0.0467215 0.120842 0.164982 0.0692602 0.117197 0.0795029 0.0463765 0.0107588 -0.0114377 0.0790161 0.098036 0.0784291 0.0814868 0.0602456 0.0807299 0.299607 0.0795497 0.123968 -0.0460426 0.0792478 0.106282 0.090675 0.157323 0.122766 0.0827299 0.104931 0.0220254 0.0792502 0.104829 0.13486 0.103867 0.078021 -0.0658445 0.0741886 0.105626 0.123918 0.212499 0.0676184 0.109531 0.0718213 0.1336 0.304494 0.0675527 0.160531 0.0758527 0.233649 0.161483 0.16313 0.0694938 0.188372 0.127317 0.0648423 0.144344 0.165416 0.0632059 0.0986183 0.0573235 0.126309 0.0615929 0.0335471 0.0316854 -0.0294696 0.231494 0.102312 0.0526619 0.0450802 0.0620059 0.194368 0.0727151 0.302026 0.073007 0.0725011 0.0889058 0.170002 0.13673 0.0786724 0.0455321 0.121572 0.137267 0.0737828 0.0831634 0.179175 0.042655 0.115209 0.0566652 0.00871699 0.141923 0.163441 0.0648055
-1.25  0.104447 0.10148 0.110544 0.0595464 0.0831181 0.0987729 0.0798001 0.0746106 0.185428 0.0747023 0.0902524 0.0747979 0.106253 -0.0937401 0.080716 0.101552 0.0736152 0.0803584 0.0377478 0.0513997 0.0795657 0.0926396 0.0731219 0.0695226 0.0741527 0.0672726 0.190161 0.0698029 0.187772 0.138608 0.0724347 0.0976528 0.0848552 0.0339411 0.102753 0.0690125 0.117924 0.0956158 0.0716159 -0.0100227 0.101886 0.0965598 0.0737322 0.155064 0.0753461 -0.0476047 0.136658 0.0626502 0.080938 0.0974656 0.073404 0.104437 0.207971 0.0763325 0.0452579 0.0742267 0.234646 0.128634 -0.0682242 0.0748553 0.0964041 0.0425983 0.155678 0.0875478 -0.0113154 0.0805293 0.0896856 0.0951338 0.103011 0.0776786 0.113057 0.0852776 0.0422348 -0.0591609 0.0943972 0.0758726 0.0959269 0.0838539 0.000485793 0.0749378 0.0847017 0.0904978 0.0753636 0.0892393 0.102824 0.0836525 0.076298 0.115071 0.104476 0.115255 0.097798 0.0962173 0.16678 0.0900663 0.125281 0.120156 0.0428806 0.109232 0.139536 0.0733812
-0.75  0.132789 0.0388426 0.131241 0.23115 0.033328 0.0528006 0.131345 0.0387561 0.0338089 0.104696 0.142446 0.156416 0.0540337 0.0954784 0.129295 0.0435251 0.0793617 0.151816 0.239492 0.185692 0.0588496 0.0501303 0.0784215 0.0958271 0.14174 0.0931693 -0.0266296 0.105005 0.119405 0.267402 0.119584 0.052646 0.0349408 0.0158128 0.0564666 0.0852812 0.112221 0.177921 0.119431 -0.0453936 0.0480288 0.0524918 0.12015 0.375213 0.124378 0.203411 0.06697 0.0277409 0.132245 0.0413643 0.0322476 0.036225 0.0217274 0.132279 -0.0350524 0.122578 0.01272 0.0148436 -0.0898745 0.129854 -0.00372962 0.0621698 0.188288 0.0431493 -0.0282241 0.13423 0.0352898 0.165843 0.046478 0.141478 0.164973 0.169969 0.190432 -0.11765 0.0280467 0.111764 0.126503 0.135374 -0.0955205 0.0374612 -0.0768983 0.151285 0.0399899 0.119383 0.0319448 0.0260306 0.118956 0.177304 0.0481591 0.0474662 0.142754 0.154973 -0.00174296 0.150589 0.0580923 0.161288 0.149275 0.0461948 0.0207323 0.0491237
-1.0  0.0963962 0.109709 0.09606 0.122265 0.0659548 0.0845259 0.0939049 0.0552253 0.205502 0.0964668 0.0650908 0.0884565 0.0966438 0.0755055 0.0942627 0.0878343 0.0778944 0.0680065 0.0765767 0.0640644 0.0690504 0.0764563 0.0762552 0.0856122 0.0891342 0.084847 0.0710898 0.0865112 0.0850662 -0.120517 0.0938922 0.0833683 0.0679075 0.0815639 0.0951996 0.0837477 -0.0154346 0.0663537 0.0930465 0.0556064 0.105033 0.0814037 0.0945625 0.131025 0.094089 0.00133019 0.121932 0.0558811 0.0929707 0.083381 0.0544415 0.100688 0.0758312 0.0921197 0.0105443 0.0942155 0.186639 0.116103 -0.0988908 0.0919366 0.185088 0.166997 0.03615 0.104825 -0.0660445 0.0947209 0.0738272 0.0868134 0.0987971 0.089638 0.103983 0.0903768 0.055197 0.118912 -0.0742748 0.120366 0.0512022 0.0888068 0.145485 0.0571346 0.247326 0.0505884 0.057665 0.118723 0.12789 0.0990959 0.0960666 0.0750177 0.0947873 0.0949825 0.0676303 0.0864348 0.0462015 -0.0114311 0.156798 0.0811751 0.0906332 0.099741 0.116323 0.0536142
-1.0  0.211993 0.00340073 0.215746 0.206934 0.0204626 0.0347284 0.156991 0.0372218 -0.0596445 0.108248 0.216343 0.193662 0.0237455 0.390071 0.153708 0.0206862 0.0888479 0.202217 0.234381 0.204813 0.0689881 0.0365216 0.0891118 0.103756 0.168181 0.0987464 -0.220947 0.116883 -0.00893635 0.297144 0.131134 0.0358472 0.0215 0.0112644 0.0318315 0.0886193 0.267262 0.205357 0.131579 0.0346639 0.0117542 0.0363535 0.132265 0.318417 0.140419 0.255757 -0.0256659 -0.0301649 0.159918 0.0212525 0.0305681 0.0219917 -0.159191 0.154228 -0.0250218 0.136615 -0.0475553 -0.0231875 -0.29257 0.149281 -0.0253039 -0.019962 0.164384 0.0122437 -0.103032 0.162107 0.0182906 0.24936 0.018075 0.165881 0.244836 0.243773 0.252483 -0.312438 0.240529 0.195329 0.10667 0.179889 0.00235985 0.0420797 -0.0110134 0.173932 0.0467199 0.335416 -0.0356183 -0.0606412 0.131641 0.250041 0.0240122 0.0095043 0.216763 0.213076 -0.0620137 0.22335 -0.0310263 0.194613 0.229892 0.0130971 -0.0299659 0.0572027
-1.25  0.155132 0.0846317 0.118961 0.258238 0.0500129 0.0672792 0.117906 0.0530137 0.0854048 0.0988118 0.112655 0.140315 0.0691137 0.155135 0.114067 0.062282 0.0864472 0.121819 0.183752 0.134547 0.0799054 0.0629891 0.0867272 0.0929209 0.119943 0.0893382 -0.100531 0.100448 0.0393656 0.208683 0.107963 0.0668549 0.0515188 0.0802865 0.0776995 0.0840221 0.113468 0.132586 0.108108 -0.02204 0.0677843 0.0657636 0.108313 -0.0716937 0.11113 0.020631 0.0648721 0.0241039 0.116814 0.0599788 0.0511418 0.0632905 0.0883977 0.115238 -0.0216527 0.109822 0.0951492 0.0953826 -0.168766 0.113746 0.105341 0.0719679 0.104128 0.0731705 -0.150576 0.117916 0.0533663 0.12291 0.0681766 0.120411 0.124239 0.136092 0.228564 -0.0126712 0.254561 0.157077 0.184773 0.120887 0.111616 0.0618855 0.0631882 0.116654 0.0647973 -0.103437 0.059635 0.0218107 0.108455 0.0927949 0.0690366 0.0727445 0.0906596 0.167842 0.00885901 0.138043 0.0723394 0.120479 0.112959 0.0712224 0.0161715 0.0643174
-1.0  0.187729 0.0462859 0.177968 0.207387 0.0391596 0.0498544 0.13879 0.0446658 -0.0963929 0.105871 0.19838 0.167469 0.0422022 0.0405707 0.138947 0.0450826 0.0870912 0.177223 0.1872 0.179441 0.0762641 0.0490211 0.0873451 0.0971944 0.137718 0.0938616 -0.157171 0.105832 -0.0349457 0.312455 0.117947 0.0498407 0.0402791 0.0073032 0.047211 0.0869454 0.279991 0.177047 0.117108 -0.0199502 0.0332467 0.0499303 0.120455 0.173999 0.126221 0.230632 0.0108111 -0.0118149 0.141118 0.0450591 0.043065 0.0518554 -0.180038 0.133271 0.0105541 0.123236 -0.122138 0.00869515 0.172472 0.129841 0.00113397 0.0531157 0.180177 0.0312781 -0.303148 0.141221 0.0408054 0.158249 0.0419716 0.143728 0.170238 0.186076 0.250002 0.146976 0.278407 0.142176 0.18214 0.150809 0.0759814 0.0549164 -0.0469275 0.165776 0.0583319 0.125675 0.018959 0.00502016 0.122935 0.190983 0.0463508 0.030237 0.204825 0.17763 -0.0263508 0.17887 -0.026056 0.141567 0.193046 0.0358969 0.0037026 0.0575207
-0.25  0.165196 0.031623 0.154077 0.219067 0.0468577 0.0585911 0.129893 0.0511498 -0.0214427 0.0977643 0.172117 0.160779 0.0559819 0.109798 0.129898 0.0537338 0.0812227 0.16562 0.243149 0.169781 0.071424 0.0576836 0.0812009 0.0903683 0.130464 0.0876836 0.102171 0.0966677 0.0228057 0.211362 0.107825 0.0586717 0.0480336 -0.0305361 0.0551075 0.0830635 0.127213 0.197738 0.106853 0.00115799 0.0499823 0.0590945 0.110528 0.332126 0.116871 0.105081 0.0488631 0.0340089 0.132933 0.0529674 0.0483007 0.0398277 0.0691901 0.125392 -0.0698832 0.113588 0.0187934 0.0157082 -0.256658 0.12113 -2.53022e-05 -0.00645775 0.136092 0.0292249 0.0170561 0.134605 0.0485691 0.173416 0.0508765 0.137008 0.179136 0.184255 0.1946 -0.207602 0.328009 0.130016 0.151027 0.141185 -0.0210649 0.0550389 -0.0344944 0.157061 0.0571558 0.0826683 -0.0133965 -0.0404164 0.1131 0.177973 0.055664 0.0438587 0.167501 0.212605 -0.00324121 0.139968 0.0398248 0.163023 0.160413 0.042887 -0.0182399 0.0598311
-0.75  0.111605 0.0890718 0.10641 0.0400239 0.0691614 0.0938027 0.0889794 0.0793997 0.0410007 0.0723355 0.0896508 0.102054 0.0915644 -0.072636 0.0836564 0.0809075 0.0779343 0.110183 0.145062 0.142269 0.0778768 0.0901597 0.0792631 0.0775154 0.107005 0.07085 0.133875 0.0874076 0.110618 0.151836 0.0875096 0.0934535 0.0709941 0.191348 0.104421 0.0663958 0.0884356 0.116035 0.0906017 -0.113905 0.0819931 0.092706 0.083811 0.0901267 0.0858082 0.223187 0.0853302 0.0531525 0.0932198 0.0767895 0.070354 0.0756035 0.0476986 0.0939701 0.131344 0.0852717 0.152908 0.0563905 0.227542 0.0926208 0.0563168 0.0334338 0.211001 0.0866275 0.0452291 0.0869786 0.0702129 0.0860123 0.0843912 0.0950271 0.139365 0.130207 0.105051 -0.153349 0.0347573 0.0804223 0.193467 0.0894208 -0.0270803 0.0756279 -0.0184581 0.111363 0.0785306 0.107517 0.0894647 0.000256695 0.0784601 0.0887668 0.0856888 0.103235 0.121858 0.101068 0.0587016 0.140487 0.0419932 0.119942 0.116768 0.09551 0.104132 0.0935976
-0.5  0.0805844 0.0948815 0.109125 0.0925172 0.0558638 0.0819074 0.0977265 0.0551682 0.120503 0.092396 0.0857816 0.111597 0.0876756 0.200595 0.0947442 0.0778019 0.0786774 0.0671992 0.0908714 0.125474 0.0691761 0.0739968 0.0787649 0.0870024 0.1056 0.0832717 0.00375354 0.0947116 0.0151446 -0.0833698 0.102469 0.0806555 0.0580699 0.10453 0.0977027 0.0779939 0.106941 0.0981753 0.103438 0.103398 0.0931415 0.0786173 0.100617 -0.00382195 0.1001 0.149145 0.0744762 0.135646 0.0974957 0.071431 0.0495831 0.0846979 0.0302165 0.10114 0.0833723 0.100776 0.0173942 0.121688 0.377954 0.101885 0.113215 0.125491 0.074659 0.100239 0.0244124 0.0947746 0.0615969 0.0772422 0.0901683 0.104102 0.103416 0.064326 0.115778 0.245781 0.0439019 0.0447019 0.0668872 0.0948263 0.115532 0.0553906 0.0204825 0.103065 0.0579319 0.147444 0.0904957 0.0406038 0.0974953 0.101679 0.0856984 0.0945061 0.0649341 0.125909 0.107941 0.0617345 0.111146 0.0562862 0.11482 0.092391 0.0928139 0.0638094
