# E          M           C            S
-1.76800000  0.92600000  4.81481600  0.56838417
-1.97900000  0.99299997  0.52494400  0.06821728
-2.00000000  1.00000000  0.00000000  0.00000000
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-2.00000000  1.00000000  0.00000000  0.00000000
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.05560000  0.00347614
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99600000  0.99900001  0.04774400  0.00298309
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-2.00000000  1.00000000  0.00000000  0.00000000
-1.99800000  0.99949998  0.01593600  0.00099659
-2.00000000  1.00000000  0.00000000  0.00000000
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99300000  0.99825001  0.05521600  0.00345135
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99300000  0.99825001  0.05521600  0.00345135
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
