# E          M           C            S
-0.96950000  0.60250002  2.12661702  0.90123997
-1.20650000  0.70800000  2.18286545  0.79403557
-1.35300000  0.76400000  1.96204570  0.72364296
-1.45500000  0.80774999  1.77045934  0.60125949
-1.57050000  0.85250002  1.59499697  0.49697407
-1.63500000  0.88075000  1.25494063  0.37746581
-1.62350000  0.88450003  1.06636098  0.27557309
-1.64100000  0.89249998  0.99154778  0.22723230
-1.66800000  0.89700001  1.05121725  0.26500793
-1.67700000  0.90249997  1.07344026  0.25391910
-1.70000000  0.90875000  0.87297651  0.21591026
-1.70800000  0.90950000  0.80205971  0.22368819
-1.70550000  0.91275001  0.86370445  0.20074324
-1.67500000  0.90425003  1.06833821  0.23056070
-1.72200000  0.91750002  0.80493355  0.17961292
-1.70100000  0.90724999  0.95702239  0.25340252
-1.71450000  0.91224998  0.90000138  0.23080338
-1.69500000  0.90899998  0.88665675  0.20263119
-1.70950000  0.91450000  0.86996390  0.19942248
-1.71550000  0.91874999  0.87173544  0.17404509
-1.72000000  0.91825002  0.86746504  0.18778301
-1.71400000  0.91750002  0.72516692  0.15877920
-1.74000000  0.92650002  0.71609662  0.13867210
-1.72900000  0.92150003  0.69408620  0.15446591
-1.71750000  0.91850001  0.71872933  0.15859330
-1.70050000  0.90899998  0.86579093  0.21652002
-1.72550000  0.91700000  0.85831109  0.21516662
-1.72900000  0.91700000  0.84073051  0.20723021
-1.68150000  0.90300000  0.96424143  0.24476979
-1.66750000  0.89875001  1.11142113  0.25717985
-1.68900000  0.90525001  1.04040297  0.24794586
-1.67000000  0.90025002  0.94521605  0.23774732
-1.70150000  0.91175002  0.89570244  0.19687036
-1.68950000  0.90700001  0.93484170  0.21657537
-1.70300000  0.90850002  0.97844624  0.25646980
-1.70600000  0.91100001  0.82106639  0.21441683
-1.68800000  0.90799999  0.92772109  0.21060355
-1.71450000  0.91500002  0.82520294  0.20357115
-1.70300000  0.90899998  0.81014975  0.21106383
-1.68100000  0.90474999  0.93592136  0.21643818
-1.68050000  0.90750003  0.92334636  0.19846171
-1.70750000  0.90974998  0.87324716  0.23471174
-1.67700000  0.90425003  0.94844813  0.22064031
-1.66600000  0.90175003  1.00759007  0.21381463
-1.66150000  0.89899999  0.98140570  0.23749234
-1.67550000  0.90474999  0.96873721  0.21098199
-1.70550000  0.91224998  0.89913529  0.21195412
-1.68650000  0.90499997  0.90286734  0.21458382
-1.70200000  0.91250002  0.85800107  0.18328381
-1.73100000  0.92075002  0.77510472  0.17659248
-1.69450000  0.90950000  0.89677323  0.20483893
-1.70700000  0.91250002  0.92376464  0.21354168
-1.72500000  0.91649997  0.75930256  0.19466499
-1.73000000  0.92224997  0.79069822  0.16159718
-1.69850000  0.91350001  0.88960046  0.18367266
-1.66950000  0.90425003  0.90602462  0.18790222
-1.68000000  0.90649998  0.91076940  0.19748201
-1.68300000  0.90375000  0.93994473  0.22831086
-1.70450000  0.91450000  0.90960707  0.19049408
-1.71350000  0.91525000  0.83476139  0.18183485
-1.75400000  0.92900002  0.72233245  0.15294788
-1.70250000  0.91250002  0.85376020  0.19419619
-1.68750000  0.90525001  0.93092069  0.21867998
-1.67950000  0.90474999  0.89326952  0.20949377
-1.72250000  0.92075002  0.76321472  0.15675123
-1.74050000  0.92474997  0.77272593  0.16661722
-1.71450000  0.91675001  0.77205668  0.17292159
-1.71500000  0.91399997  0.79532392  0.20568711
-1.66900000  0.90050000  1.05874827  0.24483932
-1.72200000  0.91750002  0.82068059  0.19300552
-1.71100000  0.91350001  0.90734048  0.20946633
-1.70300000  0.90925002  0.84951735  0.21415192
-1.68700000  0.90649998  0.96856497  0.22575590
-1.67500000  0.90375000  0.90594687  0.21640649
-1.68250000  0.90499997  0.96182426  0.22996087
-1.70050000  0.91224998  0.89826920  0.20600169
-1.70300000  0.91224998  0.95580987  0.20699369
-1.73700000  0.92224997  0.73846136  0.18094267
-1.72150000  0.91425002  0.92932237  0.23355654
-1.67400000  0.90300000  0.94373583  0.22542477
-1.69950000  0.90974998  0.96972140  0.22429512
-1.69000000  0.90824997  0.90506110  0.20774395
-1.69550000  0.90899998  0.96117863  0.21800825
-1.71800000  0.91775000  0.80005197  0.18415612
-1.69950000  0.90875000  0.91952771  0.21839000
-1.70200000  0.91175002  0.96035683  0.21423139
-1.69200000  0.90824997  0.99555146  0.22659321
-1.69800000  0.91025001  0.94598765  0.22352168
-1.73500000  0.92400002  0.70084168  0.15058688
-1.73750000  0.92150003  0.68388901  0.16289855
-1.72750000  0.92049998  0.77108824  0.17206205
-1.75100000  0.92900002  0.60920966  0.12517023
-1.71800000  0.91850001  0.77741560  0.16305749
-1.67450000  0.90474999  0.85890160  0.18965252
-1.70000000  0.91374999  0.93301209  0.18426350
-1.73000000  0.91974998  0.86549666  0.19169658
-1.74050000  0.92400002  0.72843738  0.15901952
-1.73150000  0.91750002  0.75893940  0.20590235
-1.75750000  0.92799997  0.70495067  0.17215146
-1.71100000  0.91675001  0.77742741  0.15556055
