# E          M           C            S
-0.71600000  0.38124999  0.77094314  0.62819236
-0.96650000  0.51324999  1.16085580  0.82672603
-1.15300000  0.59574997  1.57101941  1.02713484
-1.30650000  0.67850000  1.68229401  0.97003616
-1.40850000  0.73075002  1.68909672  0.92484164
-1.50350000  0.78250003  1.53763330  0.76225857
-1.58300000  0.81424999  1.41909217  0.72954137
-1.63150000  0.84399998  1.24501360  0.59513337
-1.68450000  0.86100000  1.15741322  0.59924142
-1.71950000  0.88200003  1.03558282  0.49671656
-1.74200000  0.88999999  1.03424934  0.49625488
-1.76200000  0.90275002  0.98874331  0.41951062
-1.76350000  0.90824997  0.84489043  0.36141388
-1.78950000  0.92449999  0.79527186  0.25414122
-1.81450000  0.93325001  0.70070385  0.23224189
-1.82650000  0.93699998  0.61983403  0.22275602
-1.83350000  0.94225001  0.57412186  0.18509563
-1.83500000  0.94174999  0.54125368  0.18456954
-1.85250000  0.95150000  0.52112255  0.14549595
-1.85500000  0.95074999  0.54872636  0.16270810
-1.86200000  0.95499998  0.44942222  0.12860423
-1.87600000  0.95999998  0.40648268  0.11146461
-1.86400000  0.95850003  0.40972942  0.09616523
-1.85450000  0.95599997  0.44039703  0.10444087
-1.86100000  0.95700002  0.46603218  0.10863552
-1.87450000  0.95999998  0.42967761  0.11430182
-1.88500000  0.96224999  0.38535819  0.11674175
-1.85800000  0.95375001  0.50291628  0.14033788
-1.87500000  0.95999998  0.39489230  0.11089684
-1.89150000  0.96499997  0.35097229  0.09784363
-1.86350000  0.95850003  0.37488485  0.09275971
-1.87250000  0.96025002  0.39486009  0.08809201
-1.87900000  0.96300000  0.36131164  0.08575275
-1.88200000  0.96474999  0.38690942  0.07753610
-1.86500000  0.95975000  0.40597247  0.08602662
-1.88350000  0.96574998  0.34813782  0.07306000
-1.88550000  0.96600002  0.36082591  0.07179566
-1.87800000  0.96425003  0.40257627  0.07664630
-1.87000000  0.96125001  0.40120542  0.07972490
-1.86200000  0.95775002  0.41077045  0.09020341
-1.86350000  0.95899999  0.38519199  0.08972982
-1.87350000  0.96149999  0.34849857  0.07961665
-1.88500000  0.96600002  0.34799481  0.06952567
-1.88950000  0.96775001  0.33711949  0.06859202
-1.90000000  0.97224998  0.28086956  0.04834241
-1.89450000  0.97000003  0.29888000  0.05595882
-1.88150000  0.96499997  0.33025493  0.07457495
-1.88600000  0.96525002  0.34015623  0.08523153
-1.88950000  0.96649998  0.33969627  0.07380530
-1.87950000  0.96499997  0.36386652  0.06833223
-1.87650000  0.96300000  0.38328517  0.08575275
-1.88750000  0.96700001  0.34899331  0.06672906
-1.89050000  0.96749997  0.34598363  0.06986449
-1.89250000  0.96875000  0.33018278  0.05952021
-1.88550000  0.96550000  0.35180716  0.07999769
-1.88050000  0.96275002  0.38571765  0.09892125
-1.87750000  0.96399999  0.37939938  0.08017305
-1.89250000  0.96675003  0.34822028  0.08275263
-1.87800000  0.96300000  0.38582717  0.08859050
-1.90300000  0.96925002  0.30710639  0.08874584
-1.87700000  0.96074998  0.40260204  0.10604512
-1.85900000  0.95525002  0.49149081  0.12625360
-1.85750000  0.95424998  0.49767381  0.12883750
-1.85250000  0.95349997  0.46314489  0.11941226
-1.86100000  0.95649999  0.42222683  0.11391807
-1.86400000  0.95625001  0.43807406  0.11797633
-1.84850000  0.95074999  0.49949817  0.13319615
-1.86000000  0.95525002  0.41692381  0.11717312
-1.86550000  0.95649999  0.42663700  0.11902581
-1.87200000  0.96050000  0.41932537  0.10274461
-1.86900000  0.95850003  0.42820497  0.11319118
-1.87800000  0.96300000  0.36650128  0.08688774
-1.87400000  0.95950001  0.40261750  0.10712545
-1.87000000  0.95800000  0.41666613  0.11508283
-1.86650000  0.95999998  0.43703690  0.09500588
-1.87200000  0.96025002  0.41546019  0.10114577
-1.87600000  0.96100003  0.43225053  0.10593849
-1.87900000  0.96174997  0.39223305  0.08915556
-1.87400000  0.96149999  0.38715679  0.08869712
-1.87250000  0.95950001  0.40516723  0.10315270
-1.87650000  0.96249998  0.38972713  0.08427948
-1.85450000  0.95725000  0.40689883  0.08016980
-1.86250000  0.95824999  0.44046918  0.09455773
-1.87200000  0.96125001  0.39098074  0.08369764
-1.85900000  0.95700002  0.43608993  0.09614953
-1.86200000  0.95725000  0.44942222  0.10173627
-1.89050000  0.96574998  0.37046309  0.09462647
-1.88500000  0.96350002  0.38535819  0.10481487
-1.87950000  0.96025002  0.45147721  0.12498221
-1.85350000  0.95375001  0.47625557  0.12501415
-1.87800000  0.95824999  0.43865126  0.13485290
-1.84800000  0.95050001  0.50322549  0.14176840
-1.84100000  0.94849998  0.53967669  0.15298787
-1.86950000  0.95824999  0.41792747  0.10704372
-1.85950000  0.95649999  0.47224609  0.10483760
-1.86100000  0.95775002  0.44284111  0.08963618
-1.85850000  0.95499998  0.46821600  0.11101050
-1.84950000  0.95300001  0.45467242  0.11274411
-1.87450000  0.96174997  0.45931063  0.10334376
-1.87950000  0.96425003  0.35227099  0.07891628
