# E          M           C            S
-0.46550000  0.36550000  0.30219254  0.29309490
-0.56600000  0.42725000  0.32671838  0.34090934
-0.61000000  0.47250000  0.36917872  0.32257071
-0.57200000  0.45199999  0.36173003  0.33139435
-0.61500000  0.47499999  0.38529797  0.33757060
-0.59550000  0.46775001  0.38303776  0.32679624
-0.64000000  0.48199999  0.32640684  0.31802715
-0.62850000  0.48275000  0.34806441  0.32365504
-0.61800000  0.48649999  0.35408216  0.32629489
-0.63900000  0.49550000  0.39060168  0.32420232
-0.64200000  0.48899999  0.38346069  0.33137408
-0.67800000  0.50000000  0.36939066  0.32627125
-0.66550000  0.49149999  0.38588496  0.34289380
-0.64500000  0.49125001  0.39608669  0.33397594
-0.63050000  0.48625001  0.36719302  0.34391947
-0.60450000  0.47450000  0.38456989  0.31965991
-0.61950000  0.47650000  0.34740305  0.32292766
-0.58300000  0.46900001  0.36434103  0.32814236
-0.64200000  0.49649999  0.38665262  0.33130067
-0.62700000  0.47950000  0.36020428  0.33256381
-0.63050000  0.48400000  0.43326598  0.35788245
-0.61550000  0.47325000  0.34541128  0.32261327
-0.58100000  0.45150000  0.40529733  0.34840787
-0.61500000  0.46650001  0.41721727  0.35876938
-0.60300000  0.46974999  0.37427431  0.33470594
-0.63950000  0.47600001  0.40494717  0.36604061
-0.62950000  0.47999999  0.39306042  0.35073447
-0.59750000  0.46224999  0.37424591  0.34793757
-0.63550000  0.47700000  0.40156373  0.34026433
-0.62150000  0.47075000  0.37551502  0.34599183
-0.61550000  0.46399999  0.35339111  0.32182609
-0.59450000  0.46000001  0.35806409  0.32864398
-0.62300000  0.47825000  0.43138434  0.36721209
-0.60700000  0.46799999  0.37032909  0.33435492
-0.59350000  0.46950001  0.34617479  0.31811181
-0.62800000  0.47900000  0.40169300  0.33670731
-0.62200000  0.48300001  0.41797185  0.34558638
-0.62050000  0.46349999  0.40167864  0.36205761
-0.63850000  0.49024999  0.39317278  0.34038953
-0.62550000  0.47650000  0.37265760  0.33761694
-0.65200000  0.49775001  0.39534744  0.31876241
-0.62400000  0.47600001  0.35446264  0.33553219
-0.60650000  0.47075000  0.36711386  0.33949459
-0.61150000  0.46474999  0.35997670  0.33350819
-0.61850000  0.46325001  0.39271314  0.35561889
-0.62800000  0.48350000  0.36179387  0.31995598
-0.62800000  0.47025001  0.35604839  0.33794884
-0.59100000  0.45800000  0.43150946  0.36349606
-0.61150000  0.46675000  0.37497877  0.35587886
-0.59300000  0.47275001  0.37901114  0.32192624
-0.63350000  0.48074999  0.38661017  0.33462465
-0.65800000  0.48949999  0.34988158  0.31871075
-0.62850000  0.47650000  0.38700597  0.33846434
-0.62250000  0.48475000  0.40903795  0.32253649
-0.59800000  0.46974999  0.39151712  0.32933870
-0.56000000  0.44250000  0.35768777  0.32432207
-0.61500000  0.46450001  0.37987168  0.34656376
-0.58200000  0.45375001  0.33805867  0.31504941
-0.65650000  0.47049999  0.33404545  0.34973904
-0.64000000  0.46375000  0.37300903  0.36171607
-0.59750000  0.46450001  0.36435092  0.32537738
-0.63900000  0.48350000  0.40847649  0.36006890
-0.58050000  0.45950001  0.34842446  0.31433786
-0.63600000  0.48449999  0.42229755  0.35512885
-0.62550000  0.47725001  0.36435858  0.33396011
-0.63150000  0.48175001  0.40771522  0.34496360
-0.59900000  0.47674999  0.37179482  0.32340423
-0.62650000  0.48550001  0.38925309  0.33012312
-0.66000000  0.49050000  0.32864120  0.33151288
-0.65050000  0.49250001  0.34565387  0.31274005
-0.60900000  0.47325000  0.39435539  0.33702008
-0.64900000  0.49225000  0.40096907  0.34958730
-0.64100000  0.48574999  0.42021003  0.36024044
-0.58500000  0.46724999  0.38753232  0.32862688
-0.56550000  0.45675001  0.41601679  0.34846633
-0.61850000  0.47650000  0.33685435  0.32151520
-0.57700000  0.45774999  0.33109387  0.31693197
-0.60900000  0.46450001  0.38063009  0.34458637
-0.61950000  0.48100001  0.42017907  0.35119326
-0.60750000  0.46675000  0.36237192  0.32198059
-0.65250000  0.48975000  0.40265409  0.35136130
-0.61150000  0.47299999  0.37402119  0.34896506
-0.62050000  0.47600001  0.35028855  0.32621016
-0.63400000  0.47624999  0.36617064  0.34081209
-0.63750000  0.48574999  0.36958569  0.34046651
-0.64750000  0.49474999  0.36626608  0.33137260
-0.58900000  0.47200000  0.31610201  0.29391414
-0.65900000  0.48824999  0.38522647  0.35177725
-0.63900000  0.49075001  0.40560375  0.34749454
-0.62750000  0.47749999  0.35796706  0.33387006
-0.58750000  0.46550000  0.37054327  0.33303843
-0.60250000  0.47200000  0.40041974  0.34221923
-0.63500000  0.48225001  0.38402119  0.33770032
-0.63950000  0.48625001  0.39984008  0.33459744
-0.60650000  0.47200000  0.37828561  0.33656951
-0.62300000  0.48975000  0.39276198  0.32367767
-0.61600000  0.48400000  0.34733825  0.32115939
-0.64900000  0.49375001  0.40862970  0.35165966
-0.62300000  0.47275001  0.37648313  0.33746304
-0.61050000  0.46274999  0.38898752  0.35064948
