# E          M           C            S
-1.43350000  0.82650000  3.13590295  0.51018857
-1.72500000  0.91474998  2.22421181  0.35757222
-1.83450000  0.94875002  1.34550127  0.23307345
-1.89550000  0.97000003  0.72261643  0.09986703
-1.92350000  0.97775000  0.52609073  0.08592745
-1.92150000  0.97874999  0.44299721  0.05654884
-1.94400000  0.98474997  0.29279035  0.03831519
-1.94300000  0.98525000  0.28847737  0.03184311
-1.95400000  0.98774999  0.23664418  0.02857987
-1.94400000  0.98400003  0.33148759  0.05497540
-1.95100000  0.98699999  0.20649551  0.02340613
-1.95700000  0.98750001  0.24555861  0.04409795
-1.94600000  0.98624998  0.23453342  0.02352502
-1.93650000  0.98350000  0.32078429  0.03490967
-1.93050000  0.98075002  0.35386691  0.05077620
-1.94750000  0.98650002  0.27171619  0.02856976
-1.95850000  0.98874998  0.14882783  0.01954653
-1.93750000  0.98374999  0.30584012  0.03333939
-1.94900000  0.98675001  0.25082144  0.02698367
-1.95400000  0.98774999  0.19091107  0.02327522
-1.94600000  0.98449999  0.25564100  0.04121732
-1.94100000  0.98350000  0.32554229  0.04750917
-1.93150000  0.98124999  0.31965855  0.04501052
-1.94600000  0.98525000  0.28378445  0.03781116
-1.95000000  0.98699999  0.20755792  0.02340613
-1.95100000  0.98675001  0.22936206  0.03029940
-1.94600000  0.98600000  0.24684617  0.02842430
-1.92700000  0.98025000  0.41983691  0.05521192
-1.93900000  0.98374999  0.36079196  0.04328657
-1.95050000  0.98650002  0.27738709  0.03520057
-1.93500000  0.98325002  0.30799485  0.03250018
-1.94300000  0.98549998  0.28495944  0.02827379
-1.94100000  0.98400003  0.30971160  0.04104973
-1.93000000  0.98025000  0.38767598  0.05786425
-1.93900000  0.98374999  0.34144334  0.04328657
-1.94050000  0.98350000  0.28378973  0.04286728
-1.94600000  0.98549998  0.24332824  0.03158951
-1.95900000  0.98949999  0.18341788  0.01872440
-1.94000000  0.98250002  0.44255571  0.07035751
-1.94700000  0.98549998  0.27750142  0.03623140
-1.94250000  0.98525000  0.24673888  0.02521166
-1.94900000  0.98675001  0.21036523  0.02234178
-1.94550000  0.98525000  0.26493362  0.03582160
-1.93700000  0.98325002  0.29396534  0.03647931
-1.94350000  0.98474997  0.25985372  0.03234714
-1.95750000  0.98925000  0.17813923  0.01767270
-1.95300000  0.98799998  0.22015915  0.02300834
-1.94200000  0.98449999  0.34747307  0.04320689
-1.94800000  0.98624998  0.23954295  0.02949307
-1.94450000  0.98525000  0.21666760  0.02653782
-1.95250000  0.98750001  0.21542929  0.02553039
-1.95450000  0.98850000  0.15517417  0.01517468
-1.93600000  0.98325002  0.28603593  0.03382635
-1.95250000  0.98799998  0.21718826  0.02168218
-1.95400000  0.98799998  0.20146487  0.02367174
-1.94900000  0.98675001  0.23850868  0.02897323
-1.94300000  0.98474997  0.27792358  0.03566287
-1.92950000  0.98199999  0.39685603  0.04032879
-1.95200000  0.98750001  0.21597281  0.02354083
-1.94550000  0.98500001  0.28428224  0.03872626
-1.93650000  0.98299998  0.29791774  0.03871108
-1.93700000  0.98325002  0.27637569  0.03780547
-1.95350000  0.98774999  0.22664446  0.02725371
-1.94100000  0.98474997  0.25342471  0.02704249
-1.94200000  0.98525000  0.23489928  0.02388549
-1.97200000  0.99299997  0.09298595  0.00876457
-1.94050000  0.98500001  0.25740524  0.02480059
-1.95600000  0.98825002  0.20449029  0.02472850
-1.93450000  0.98299998  0.30313835  0.03274303
-1.94200000  0.98500001  0.22786342  0.02413783
-1.94600000  0.98600000  0.20990790  0.02245625
-1.93950000  0.98374999  0.29525818  0.03731788
-1.95250000  0.98724997  0.24005481  0.03309022
-1.93550000  0.98250002  0.31988370  0.04714806
-1.94750000  0.98650002  0.21718826  0.02326447
-1.93150000  0.98175001  0.40936579  0.05051122
-1.91850000  0.97850001  0.37102034  0.04483028
-1.93200000  0.98224998  0.31750030  0.03677717
-1.95650000  0.98825002  0.23206207  0.03268611
-1.95750000  0.98900002  0.18869302  0.02192502
-1.96150000  0.99024999  0.19097264  0.01855365
-1.93200000  0.98224998  0.29111582  0.03279805
-1.95550000  0.98825002  0.25255050  0.02937039
-1.95300000  0.98825002  0.17794398  0.01677088
-1.93800000  0.98400003  0.26846034  0.02845023
-1.94850000  0.98699999  0.23550964  0.02274336
-1.94500000  0.98575002  0.21089996  0.02204898
-1.94300000  0.98474997  0.30606702  0.03765243
-1.95000000  0.98624998  0.26736275  0.03612453
-1.95250000  0.98774999  0.18024998  0.01863333
-1.94450000  0.98600000  0.22898036  0.02245625
-1.94200000  0.98474997  0.27359652  0.03102098
-1.92850000  0.98199999  0.33077521  0.03170841
-1.93350000  0.98275000  0.33738892  0.03762523
-1.95250000  0.98699999  0.26468033  0.03401607
-1.94500000  0.98624998  0.21441789  0.02020929
-1.95300000  0.98799998  0.16914915  0.01704029
-1.95500000  0.98825002  0.22673065  0.02539189
-1.95250000  0.98799998  0.18904481  0.01836645
-1.94450000  0.98474997  0.26591864  0.04096815
