# E          M           C            S
-1.91400000  0.97175002  1.92966400  0.24173069
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99300000  0.99825001  0.05521600  0.00345135
-1.99300000  0.99825001  0.05521600  0.00345135
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99400000  0.99849999  0.04742400  0.00296402
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99200000  0.99800003  0.06297600  0.00393486
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99400000  0.99849999  0.04742400  0.00296402
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99150000  0.99774998  0.07284400  0.00541973
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99700000  0.99924999  0.02385600  0.00149155
-2.00000000  1.00000000  0.00000000  0.00000000
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99800000  0.99949998  0.01593600  0.00099659
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99300000  0.99825001  0.05521600  0.00345135
-1.99400000  0.99849999  0.04742400  0.00296402
-1.99400000  0.99849999  0.04742400  0.00296402
-2.00000000  1.00000000  0.00000000  0.00000000
-1.99400000  0.99849999  0.04742400  0.00296402
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99300000  0.99825001  0.05521600  0.00345135
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99400000  0.99849999  0.04742400  0.00296402
-1.99700000  0.99924999  0.02385600  0.00149155
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99900000  0.99975002  0.00798400  0.00049877
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99500000  0.99874997  0.03960000  0.00247574
-1.99800000  0.99949998  0.01593600  0.00099659
