# E          M           C            S
-0.56950000  0.33575001  0.43522900  0.41465436
-0.73050000  0.40875000  0.57337005  0.51885200
-0.82550000  0.44700000  0.68969445  0.59632269
-0.91250000  0.50000000  0.85454381  0.66372853
-0.98550000  0.54900002  0.84816041  0.63974608
-1.03450000  0.57574999  1.00361183  0.67857710
-1.08950000  0.59649998  1.01660237  0.71176930
-1.14200000  0.62099999  1.03593668  0.74074225
-1.18050000  0.64499998  1.13836539  0.72260899
-1.22800000  0.66624999  1.09088232  0.68236028
-1.25950000  0.68500000  1.06141663  0.67756732
-1.27900000  0.69849998  1.03460966  0.65824795
-1.29650000  0.71149999  1.11635606  0.66253129
-1.37250000  0.74150002  1.07100104  0.63280893
-1.38400000  0.74599999  1.05833760  0.62042504
-1.40650000  0.76275003  0.97703405  0.55218079
-1.43850000  0.77275002  0.94816273  0.54879649
-1.44650000  0.77974999  0.93315212  0.51535442
-1.48800000  0.79549998  0.93810360  0.51779472
-1.46500000  0.79149997  1.00078452  0.51275651
-1.52000000  0.81325001  0.90933794  0.46517871
-1.52000000  0.81800002  0.88369871  0.44557774
-1.52900000  0.82400000  0.82638805  0.40122705
-1.50950000  0.82450002  0.87339563  0.36412328
-1.53600000  0.83324999  0.79700394  0.35769554
-1.55850000  0.83899999  0.78612281  0.35886483
-1.57300000  0.84500003  0.83807954  0.36782701
-1.54800000  0.83899999  0.81717968  0.35666116
-1.59550000  0.85474998  0.71092062  0.33051561
-1.56900000  0.84824997  0.74194953  0.32395421
-1.55400000  0.84450001  0.83547832  0.33500027
-1.54000000  0.83850002  0.77896635  0.32423246
-1.55350000  0.84175003  0.81194850  0.34544278
-1.54650000  0.83824998  0.82733204  0.35649725
-1.53500000  0.83050001  0.82830244  0.37475324
-1.53500000  0.83300000  0.75526949  0.35159774
-1.53100000  0.82875001  0.85165434  0.38134616
-1.53200000  0.83050001  0.83980436  0.37783828
-1.54700000  0.83499998  0.76541952  0.35760265
-1.56650000  0.84750003  0.76048358  0.32741249
-1.56650000  0.84350002  0.77757640  0.34425878
-1.57850000  0.84899998  0.77372274  0.33899738
-1.59100000  0.85299999  0.75975713  0.32140001
-1.56950000  0.85075003  0.75921560  0.31603775
-1.57700000  0.84974998  0.72588849  0.32009664
-1.57350000  0.85100001  0.74112208  0.31546235
-1.58800000  0.85600001  0.71714008  0.30243455
-1.60400000  0.86150002  0.71070075  0.29576135
-1.60550000  0.86374998  0.69768146  0.27874652
-1.58450000  0.85699999  0.75125967  0.30445874
-1.60850000  0.86325002  0.70889435  0.30202307
-1.57550000  0.84875000  0.74874237  0.33163278
-1.58300000  0.85299999  0.77107569  0.31567040
-1.61250000  0.86400002  0.69293898  0.30633036
-1.61150000  0.86624998  0.68042703  0.28967616
-1.59800000  0.85549998  0.71213654  0.33314925
-1.57950000  0.84875000  0.69087541  0.32325903
-1.56850000  0.84600002  0.76197532  0.33386671
-1.57150000  0.84275001  0.76222394  0.34546421
-1.59200000  0.84974998  0.73510307  0.32758902
-1.57700000  0.84775001  0.75075077  0.33434039
-1.56650000  0.84224999  0.79777700  0.36683089
-1.57050000  0.84649998  0.76654998  0.33891795
-1.54400000  0.83749998  0.77403741  0.34927345
-1.54500000  0.83574998  0.79784615  0.36132698
-1.55650000  0.83950001  0.80315347  0.35603155
-1.55950000  0.83999997  0.80984142  0.35319532
-1.57350000  0.85124999  0.75355322  0.31268203
-1.60250000  0.86025000  0.67398149  0.30102232
-1.58900000  0.85224998  0.74611396  0.34782675
-1.58500000  0.85275000  0.78479345  0.32991583
-1.58350000  0.84750003  0.82015305  0.36575533
-1.55950000  0.83925003  0.79274860  0.36141483
-1.54000000  0.83099997  0.82713702  0.37594775
-1.56050000  0.84050000  0.77062117  0.34638847
-1.59150000  0.85500002  0.77773179  0.32904328
-1.57550000  0.85025001  0.77282770  0.33746117
-1.58800000  0.85175002  0.76764159  0.34590133
-1.56950000  0.84200001  0.71182188  0.37222384
-1.56500000  0.83824998  0.79567070  0.39043275
-1.55850000  0.83574998  0.85138630  0.41421409
-1.55800000  0.83800000  0.83253214  0.39316726
-1.51350000  0.82674998  0.87310971  0.37692874
-1.55850000  0.83775002  0.75426801  0.36196501
-1.52950000  0.83300000  0.81503142  0.34366488
-1.56400000  0.84649998  0.74090842  0.31996677
-1.55450000  0.84425002  0.76421914  0.31483904
-1.54500000  0.83824998  0.79551531  0.33930883
-1.55550000  0.83999997  0.80505543  0.35848403
-1.56250000  0.84675002  0.74887911  0.31587971
-1.55000000  0.84050000  0.76606905  0.33889609
-1.55850000  0.84950000  0.73795214  0.28717323
-1.56100000  0.84474999  0.77548253  0.32915802
-1.55850000  0.84549999  0.76048358  0.31338772
-1.55650000  0.84350002  0.80859209  0.33456274
-1.54900000  0.83925003  0.85883333  0.34951512
-1.55100000  0.84375000  0.79994080  0.30933219
-1.54800000  0.84025002  0.77600153  0.32048417
-1.57250000  0.84850001  0.77109977  0.31148668
-1.51900000  0.82775003  0.79835583  0.36173552
