# E          M           C            S
-1.04650000  0.58625001  4.56809597  1.51074522
-1.50750000  0.77350003  4.24358162  1.35818433
-1.69900000  0.86150002  3.15315329  0.99288904
-1.78350000  0.89749998  2.30970241  0.76626819
-1.84450000  0.92575002  1.82835405  0.59991286
-1.87050000  0.94150001  1.42553462  0.46749891
-1.89850000  0.95424998  1.02330533  0.35168376
-1.92950000  0.96824998  0.64767290  0.24192299
-1.94850000  0.97500002  0.53644224  0.22408228
-1.95400000  0.98199999  0.49484012  0.12903959
-1.96800000  0.98825002  0.22868829  0.06721731
-1.96550000  0.98799998  0.23081228  0.06674351
-1.96600000  0.98825002  0.25023847  0.06881209
-1.97650000  0.99199998  0.16099296  0.04144833
-1.97000000  0.99100000  0.21214411  0.03564947
-1.97450000  0.99349999  0.16253952  0.01381535
-1.98350000  0.99550003  0.09261845  0.00931011
-1.98600000  0.99650002  0.07940396  0.00622246
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98300000  0.99575001  0.08354510  0.00654796
-1.99000000  0.99750000  0.04985641  0.00390748
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98550000  0.99624997  0.07544343  0.00659967
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98000000  0.99500000  0.13837697  0.01084557
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98900000  0.99725002  0.05473013  0.00428849
-1.97650000  0.99400002  0.11775015  0.00990711
-1.97800000  0.99449998  0.10699796  0.00838610
-1.97800000  0.99425000  0.11717273  0.01114065
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98250000  0.99550003  0.08972882  0.00771533
-1.98450000  0.99599999  0.09548774  0.00856862
-1.99000000  0.99750000  0.04985641  0.00390748
-1.98300000  0.99575001  0.09371987  0.00734497
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98900000  0.99725002  0.05473013  0.00428849
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98150000  0.99524999  0.11479947  0.00968048
-1.97800000  0.99449998  0.10699796  0.00838610
-1.97800000  0.99449998  0.11717273  0.00918387
-1.98900000  0.99725002  0.05473013  0.00428849
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98600000  0.99650002  0.06922918  0.00542545
-1.99000000  0.99750000  0.04985641  0.00390748
-1.98900000  0.99725002  0.05473013  0.00428849
-1.97950000  0.99449998  0.12926800  0.01396821
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98150000  0.99524999  0.10462469  0.00888271
-1.98050000  0.99500000  0.09915066  0.00845302
-1.98300000  0.99575001  0.09371987  0.00734497
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98000000  0.99475002  0.12820219  0.01280616
-1.98500000  0.99599999  0.10454584  0.01096041
-1.99100000  0.99774998  0.04496234  0.00352418
-1.98600000  0.99650002  0.06922918  0.00542545
-1.97050000  0.99250001  0.14503891  0.01204109
-1.98500000  0.99624997  0.08419628  0.00659967
-1.98200000  0.99550003  0.08827637  0.00691756
-1.97650000  0.99400002  0.14318710  0.01229966
-1.97800000  0.99449998  0.10699796  0.00838610
-1.98000000  0.99500000  0.10785264  0.00845302
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98250000  0.99550003  0.09990359  0.00851234
-1.98250000  0.99550003  0.09990359  0.00851234
-1.98000000  0.99500000  0.11802742  0.00925079
-1.98800000  0.99699998  0.05958350  0.00467027
-1.99100000  0.99774998  0.04496234  0.00352418
-1.97800000  0.99449998  0.10699796  0.00838610
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98300000  0.99575001  0.09371987  0.00734497
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98150000  0.99524999  0.09444991  0.00808494
-1.99250000  0.99800003  0.04139862  0.00393562
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98300000  0.99575001  0.09371987  0.00734497
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98000000  0.99475002  0.10785264  0.01041361
-1.99300000  0.99825001  0.03511316  0.00275227
-1.97500000  0.99374998  0.12082548  0.00947058
-1.98550000  0.99624997  0.07544343  0.00659967
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98300000  0.99575001  0.08354510  0.00654796
-1.97700000  0.99425000  0.11162748  0.00874886
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98500000  0.99624997  0.08419628  0.00659967
-1.98450000  0.99599999  0.10566252  0.00936563
-1.98600000  0.99650002  0.07940396  0.00622246
-1.98250000  0.99550003  0.08972882  0.00771533
-1.98250000  0.99550003  0.08972882  0.00771533
-1.98400000  0.99599999  0.08896825  0.00697308
-1.98850000  0.99699998  0.06097490  0.00546804
-1.98800000  0.99699998  0.05958350  0.00467027
-1.97950000  0.99475002  0.11909322  0.01041361
-1.98600000  0.99624997  0.09975352  0.01058700
-1.97950000  0.99449998  0.11146214  0.01077865
