# E          M           C            S
-0.53650000  0.41675001  0.46275036  0.37267523
-0.62150000  0.47525001  0.49100798  0.36661565
-0.69600000  0.50125003  0.51578526  0.38998009
-0.68100000  0.49775001  0.54750284  0.40761378
-0.68800000  0.50199997  0.55478877  0.42116141
-0.75800000  0.52675003  0.53890405  0.40324128
-0.75100000  0.54175001  0.59530519  0.39975975
-0.71150000  0.52300000  0.61663362  0.40673644
-0.71700000  0.51800001  0.53886701  0.40408263
-0.74650000  0.52300000  0.58621259  0.43138657
-0.75950000  0.53224999  0.64981372  0.45735213
-0.77750000  0.54350001  0.57177409  0.40101163
-0.75600000  0.53625000  0.62933436  0.44201919
-0.75150000  0.53425002  0.61845621  0.42535935
-0.75950000  0.53275001  0.59609906  0.43619571
-0.72800000  0.52600002  0.54161571  0.39506495
-0.73750000  0.53175002  0.58229476  0.39999106
-0.77250000  0.55024999  0.56732874  0.39382207
-0.78100000  0.54750001  0.54979961  0.39467431
-0.76850000  0.53525001  0.54608589  0.40737043
-0.73050000  0.52749997  0.62863903  0.44245308
-0.74750000  0.53649998  0.59029639  0.41347673
-0.74150000  0.53125000  0.53463170  0.39497107
-0.73850000  0.53625000  0.52750432  0.38632836
-0.73950000  0.52424997  0.59940343  0.43703330
-0.71700000  0.51324999  0.52701273  0.40130592
-0.72500000  0.51625001  0.55733596  0.42156874
-0.72400000  0.52125001  0.52651337  0.40483097
-0.74900000  0.52950001  0.60604812  0.42729021
-0.78950000  0.55199999  0.57947344  0.40649308
-0.75600000  0.53850001  0.57376746  0.40878991
-0.78650000  0.53775001  0.58203396  0.43478363
-0.75350000  0.53549999  0.53657283  0.41352288
-0.72500000  0.53825003  0.51695735  0.35790953
-0.70100000  0.51950002  0.58656267  0.42115517
-0.74750000  0.53525001  0.60955958  0.42136921
-0.73500000  0.52550000  0.55644689  0.41710162
-0.78300000  0.53799999  0.59554524  0.44001709
-0.75350000  0.53724998  0.58658304  0.42522802
-0.79950000  0.55124998  0.60297453  0.42984635
-0.82250000  0.55825001  0.59955754  0.43798262
-0.74000000  0.53549999  0.58812002  0.41656602
-0.76950000  0.54600000  0.60715316  0.41148638
-0.79150000  0.55500001  0.57367670  0.39397444
-0.75600000  0.53950000  0.58080593  0.41054054
-0.74300000  0.53399998  0.57522998  0.42255158
-0.73950000  0.53224999  0.57087909  0.41383414
-0.70000000  0.51424998  0.61456986  0.42338743
-0.71850000  0.51650000  0.60106007  0.42411574
-0.70150000  0.50199997  0.51606495  0.39559839
-0.69150000  0.50875002  0.59820023  0.42096000
-0.69600000  0.52300000  0.57987241  0.38056481
-0.75200000  0.53799999  0.62864088  0.43940834
-0.75000000  0.52375001  0.57752527  0.43928021
-0.76600000  0.53574997  0.55936452  0.41450137
-0.73000000  0.53025001  0.56470783  0.39557488
-0.76700000  0.53375000  0.65229756  0.45078365
-0.74900000  0.52999997  0.63086800  0.43962282
-0.72600000  0.52200001  0.56407659  0.41212908
-0.70700000  0.52375001  0.61553450  0.40002270
-0.72400000  0.52025002  0.58800740  0.42511832
-0.71300000  0.51125002  0.53474765  0.42223814
-0.77700000  0.54699999  0.53606643  0.39825204
-0.73850000  0.53299999  0.62270893  0.40492269
-0.74000000  0.53600001  0.57774753  0.39661098
-0.75000000  0.53500003  0.56863456  0.41308566
-0.73100000  0.52600002  0.59254907  0.42641011
-0.74950000  0.53324997  0.60030732  0.41686291
-0.68850000  0.51349998  0.50579618  0.38316637
-0.72350000  0.52675003  0.57074277  0.40111104
-0.72750000  0.52375001  0.56769919  0.39576222
-0.74500000  0.53825003  0.57341332  0.39199352
-0.75150000  0.54299998  0.57548448  0.39483147
-0.72900000  0.53074998  0.55871995  0.39816527
-0.77900000  0.54799998  0.54442073  0.40570194
-0.76550000  0.54325002  0.61958533  0.42196301
-0.76350000  0.54075003  0.58818337  0.42328991
-0.75850000  0.54025000  0.56315604  0.40553230
-0.76100000  0.53450000  0.59216381  0.43973093
-0.79150000  0.54449999  0.61109175  0.44318807
-0.74100000  0.53649998  0.61926564  0.41043345
-0.74750000  0.53450000  0.60474378  0.40929882
-0.76750000  0.53525001  0.56540242  0.41923897
-0.74250000  0.53474998  0.55984573  0.39415075
-0.76100000  0.53799999  0.58216177  0.42967019
-0.77350000  0.54449999  0.57244682  0.41306026
-0.76750000  0.53925002  0.58392472  0.42448288
-0.73000000  0.53275001  0.61101358  0.41945795
-0.75950000  0.54250002  0.57350185  0.39138753
-0.71550000  0.51824999  0.49926448  0.37528028
-0.69000000  0.51450002  0.48439515  0.36233587
-0.73700000  0.53175002  0.57986797  0.40272990
-0.72650000  0.53275001  0.55874032  0.38598270
-0.73300000  0.52474999  0.57931971  0.41226389
-0.77950000  0.53200001  0.59605460  0.44571388
-0.80650000  0.55400002  0.55890332  0.41124274
-0.79600000  0.56325001  0.52586139  0.37781219
-0.76300000  0.54549998  0.58134975  0.40684005
-0.71950000  0.52499998  0.55114173  0.39287914
-0.71800000  0.52225000  0.52673860  0.39883713
