# E          M           C            S
-1.70650000  0.89875001  3.97307500  0.64950088
-1.79400000  0.93250000  3.01747264  0.43628395
-1.84250000  0.94700003  2.11959688  0.34693440
-1.89450000  0.96550000  1.56686228  0.22245328
-1.90900000  0.97049999  1.30459976  0.19703109
-1.94200000  0.98199999  0.71616187  0.10352158
-1.95500000  0.98675001  0.64075660  0.08029573
-1.95500000  0.98650002  0.57462054  0.07662096
-1.95600000  0.98774999  0.46614724  0.05271066
-1.97450000  0.99274999  0.25411252  0.03720851
-1.97900000  0.99475002  0.16339675  0.01280616
-1.97400000  0.99299997  0.21696695  0.02489364
-1.97600000  0.99299997  0.17982901  0.02648918
-1.97900000  0.99425000  0.16339675  0.01831830
-1.98050000  0.99449998  0.17546149  0.02273988
-1.97900000  0.99400002  0.22698911  0.02904600
-1.97450000  0.99250001  0.17271430  0.02719265
-1.97750000  0.99374998  0.25557769  0.02940648
-1.97200000  0.99175000  0.29726629  0.04657946
-1.98650000  0.99650002  0.08590310  0.00781724
-1.98100000  0.99475002  0.12351162  0.01599572
-1.97750000  0.99400002  0.15382991  0.01708400
-1.97800000  0.99449998  0.11717273  0.00918387
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98400000  0.99599999  0.08896825  0.00697308
-1.98300000  0.99575001  0.09371987  0.00734497
-1.97400000  0.99349999  0.13556873  0.01062503
-1.97300000  0.99325001  0.14011686  0.01098170
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98900000  0.99725002  0.05473013  0.00428849
-1.97900000  0.99475002  0.11252286  0.00881883
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98350000  0.99575001  0.08498737  0.00734497
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98600000  0.99650002  0.06922918  0.00542545
-1.97400000  0.99349999  0.12539395  0.00982802
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98550000  0.99624997  0.09070560  0.00819445
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98100000  0.99524999  0.09298729  0.00728793
-1.97800000  0.99449998  0.10699796  0.00838610
-1.99000000  0.99750000  0.04985641  0.00390748
-1.97800000  0.99449998  0.10699796  0.00838610
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98000000  0.99500000  0.10785264  0.00845302
-1.98800000  0.99699998  0.05958350  0.00467027
-1.97400000  0.99349999  0.13556873  0.01062503
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98600000  0.99650002  0.06922918  0.00542545
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98000000  0.99500000  0.09767786  0.00765601
-1.97900000  0.99475002  0.11252286  0.00881883
-1.99000000  0.99750000  0.04985641  0.00390748
-1.97600000  0.99400002  0.12641143  0.00990711
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98200000  0.99550003  0.09845114  0.00771533
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98400000  0.99599999  0.08896825  0.00697308
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98300000  0.99575001  0.08354510  0.00654796
-1.97800000  0.99449998  0.10699796  0.00838610
-1.97800000  0.99449998  0.10699796  0.00838610
-1.97550000  0.99374998  0.16304826  0.01425492
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98450000  0.99599999  0.08022557  0.00697308
-1.99000000  0.99750000  0.04985641  0.00390748
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98500000  0.99624997  0.07402150  0.00580190
-1.97600000  0.99400002  0.11623666  0.00910934
-1.98200000  0.99550003  0.09845114  0.00771533
-1.97700000  0.99425000  0.12180226  0.00954587
-1.99100000  0.99774998  0.04496234  0.00352418
-1.98600000  0.99650002  0.06922918  0.00542545
-1.97800000  0.99449998  0.10699796  0.00838610
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98700000  0.99675000  0.07459129  0.00584601
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98050000  0.99500000  0.09915066  0.00845302
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98100000  0.99524999  0.09298729  0.00728793
